-0.56,+0.06,+0.61,0.095174271
-0.90,-0.09,+1.13,0.14982474
-0.33,-0.12,+0.85,0.045033541
+0.70,-0.24,-0.32,0.151822865
+1.19,+0.12,-1.08,0.093544115
+1.32,+0.49,-1.13,0.06476526
+0.56,+0.15,-0.30,0.130453646
-0.20,-0.11,+0.27,0.070085416
-0.77,-0.21,+0.80,0.146584011
-1.03,-0.32,+1.09,0.050450677
-0.96,-0.26,+0.96,0.079061198
-0.28,-0.00,+0.23,0.096817343
+0.58,+0.10,-0.59,0.099849063
+1.07,+0.15,-0.89,0.092381615
+0.99,+0.41,-0.69,0.10446526
+0.62,+0.29,-0.39,0.137549896
+0.17,-0.15,-0.01,0.099939479
-0.14,-0.19,+0.20,0.096822813
-0.53,-0.15,+0.55,0.096320312
-0.88,-0.17,+0.85,0.097220677
-0.87,-0.04,+0.92,0.10140974
-0.44,+0.05,+0.46,0.112594322
+0.34,-0.07,-0.29,0.081567709
+0.70,-0.02,-0.63,0.09407375
+0.79,+0.04,-0.83,0.113785052
+0.82,-0.04,-0.79,0.08543224
+0.70,+0.07,-0.69,0.146138228
+0.63,+0.05,-0.53,0.094032553
+0.35,+0.05,-0.23,0.132184948
-0.16,+0.03,+0.19,0.066976406
-0.93,-0.06,+0.93,0.103248802
-1.48,-0.06,+1.49,0.107626563
-1.21,-0.03,+1.25,0.07569776
-0.48,-0.29,+0.50,0.098250729
+0.15,-0.06,-0.19,0.098335052
+0.65,+0.05,-0.47,0.097086927
+0.84,+0.16,-0.71,0.097092656
+0.83,+0.17,-0.72,0.152062553
+1.08,+0.34,-0.88,0.047337655
+0.74,+0.04,-0.70,0.093752293
+0.53,+0.05,-0.32,0.130104583
-0.04,-0.04,+0.06,0.063792447
-0.72,-0.04,+0.69,0.096988855
-1.20,-0.08,+1.21,0.108636458
-1.29,-0.02,+1.45,0.166004583
-0.85,-0.29,+0.87,0.070722552
-0.01,-0.20,+0.05,0.05259849
+0.63,+0.03,-0.65,0.144059634
+0.98,+0.16,-0.81,0.141271979
+1.29,+0.03,-1.15,0.052288125
+1.11,+0.14,-0.88,0.093307291
+1.01,-0.15,-0.95,0.09925495
+0.50,-0.07,-0.34,0.135528385
+0.03,+0.04,+0.01,0.059998229
-0.44,+0.03,+0.42,0.144471094
-0.84,-0.03,+0.86,0.136614479
-1.08,-0.13,+1.20,0.019618593
-1.00,-0.05,+1.08,0.13609724
-0.60,-0.17,+0.51,0.060429948
+0.05,-0.12,-0.10,0.103818177
+0.56,+0.01,-0.44,0.10013375
+0.81,+0.06,-0.69,0.108416667
+0.95,+0.31,-0.84,0.126301667
+0.90,+0.34,-0.79,0.053668437
+0.76,-0.04,-0.75,0.089292603
+0.29,-0.03,-0.20,0.127718907
-0.11,+0.06,+0.25,0.16830849
-0.64,-0.06,+0.74,0.052054583
-0.88,+0.00,+1.12,0.083504479
-0.94,-0.14,+1.15,0.145656042
-0.63,-0.12,+0.62,0.053777552
-0.03,+0.04,+0.03,0.094883073
+0.53,+0.08,-0.47,0.095082552
+0.82,-0.04,-0.67,0.15075875
+0.97,+0.05,-0.82,0.069381562
+0.80,-0.02,-0.75,0.072019479
+0.60,-0.06,-0.52,0.146153332
+0.41,+0.06,-0.37,0.077492085
+0.00,+0.06,+0.11,0.069471771
-0.50,-0.08,+0.55,0.138403854
-0.77,-0.16,+0.93,0.139813281
-0.93,-0.20,+1.09,0.028014531
-0.62,-0.13,+0.69,0.096965
+0.07,-0.03,+0.02,0.091685937
+0.58,+0.00,-0.55,0.105505886
+0.69,-0.06,-0.62,0.087543125
+1.05,+0.33,-0.91,0.140020052
+0.68,+0.11,-0.68,0.15570802
+0.55,-0.33,-0.57,0.0602275
+0.19,+0.09,+0.00,0.077416823
-0.20,-0.08,+0.43,0.100894583
-0.59,-0.06,+1.02,0.094332864
-0.76,-0.26,+1.33,0.097084376
-0.58,-0.35,+0.93,0.101465208
+0.01,-0.16,+0.23,0.094533698
+0.52,-0.05,-0.33,0.099672761
+0.91,+0.18,-0.73,0.144798749
+1.09,+0.19,-0.95,0.05306401
+1.01,+0.09,-0.87,0.198451355
