-0.56,+0.02,+0.97
-0.16,+0.02,+1.16
+0.36,+0.03,+0.98
+0.02,+0.03,+0.92
-0.17,+0.02,+1.31
+0.12,+0.03,+0.64
+0.27,+0.03,+0.78
-0.42,+0.02,+1.16
-0.02,+0.02,+1.48
+0.19,+0.03,+0.86
-0.16,+0.02,+1.05
-0.22,+0.02,+1.30
+0.39,+0.03,+0.83
+0.27,+0.03,+0.83
-0.14,+0.02,+1.16
+0.11,+0.03,+1.03
+0.00,+0.03,+0.89
-0.20,+0.02,+1.41
+0.27,+0.03,+1.19
-0.08,+0.02,+0.84
-0.31,+0.02,+1.16
+0.00,+0.03,+1.27
-0.03,+0.02,+0.94
-0.33,+0.02,+1.42
+0.09,+0.03,+1.19
-0.25,+0.02,+1.34
-0.02,+0.02,+1.17
+0.00,+0.03,+0.89
-0.30,+0.02,+1.09
+0.09,+0.03,+1.22
+0.11,+0.03,+0.98
