-0.47,+0.02,+0.86
-0.33,+0.02,+1.02
+0.02,+0.03,+1.22
+0.39,+0.03,+0.88
-0.19,+0.02,+0.75
-0.11,+0.02,+1.70
+0.25,+0.03,+0.67
-0.23,+0.02,+0.97
+0.27,+0.03,+1.05
-0.19,+0.02,+1.08
+0.20,+0.03,+1.69
+0.38,+0.03,+0.77
+0.09,+0.03,+1.44
+0.52,+0.03,+1.31
+0.50,+0.03,+0.81
+0.06,+0.03,+1.48
+0.50,+0.03,+1.42
+0.22,+0.03,+1.08
+0.20,+0.03,+1.64
+0.72,+0.03,+1.41
+0.44,+0.03,+1.06
+0.41,+0.03,+1.64
+0.66,+0.03,+1.36
+0.27,+0.03,+1.23
+0.36,+0.03,-1.86
+0.67,+0.03,+1.05
+0.36,+0.03,+1.12
+0.44,+0.03,+1.55
+0.67,+0.03,+0.92
+0.25,+0.03,+1.16
+0.03,+0.03,+1.53
