+0.17,+0.03,+1.50
+0.27,+0.03,+1.59
+1.11,+0.03,+1.88
+1.34,+0.03,+1.42
+0.02,+0.03,+1.44
+0.45,+0.03,+1.91
+1.28,+0.03,+1.45
+0.12,+0.03,+1.48
+0.41,+0.03,+1.83
+1.08,+0.03,+1.39
+0.00,+0.03,+1.44
+0.44,+0.03,+1.66
+1.06,+0.03,+1.34
+0.02,+0.03,+1.72
+0.81,+0.03,+1.88
-0.17,+0.02,+1.52
+0.70,+0.03,+1.62
+0.88,+0.03,+1.48
+0.06,+0.03,+1.66
+0.84,+0.03,+1.84
+0.69,+0.03,+1.50
+0.02,+0.03,+1.80
+0.97,+0.03,+1.69
+0.55,+0.03,+1.22
+0.17,+0.03,+1.73
+1.19,+0.03,+1.30
+0.38,+0.03,+1.36
+0.42,+0.03,+1.92
+1.22,+0.03,+1.61
+0.33,+0.03,+1.22
+0.00,+0.03,+1.80
